category_id,category_name,upc_essential
35957,US: West Virginia,NO
35958,US: Wyoming,NO
35994,US: Arkansas,NO
35995,US: Nevada,NO
35996,US: South Carolina,NO
35997,US: South Dakota,NO
86952,Germany,NO
95137,Non-Country Specific,NO
165740,US: Territories,NO
14042,Original Photos,NO
14043,Patches,NO
14044,Pins,NO
14046,Press Kits,NO
14047,Prints,NO
14048,Signs & Plaques,NO
33757,Hood Ornaments & Emblems,NO
33758,License Plate Frames,NO
14026,Other Vintage Auto Books,NO
35930,American Vehicles,NO
35931,British Vehicles,NO
35932,European Vehicles,NO
95133,Asian Vehicles,NO
14027,Other Vintage Auto Brochures,NO
35935,Asian Vehicles,NO
35936,British Vehicles,NO
35937,European Vehicles,NO
35934,Other American Auto Catalogs,NO
86944,Buick,NO
86945,Cadillac,NO
86946,Chevrolet,NO
86947,Chrysler,NO
86948,Dodge,NO
86949,Ford,NO
86950,Pontiac,NO
86951,Plymouth,NO
165733,American Motors,NO
165734,DeSoto,NO
165735,General Motors,NO
165736,Mercury,NO
165737,Oldsmobile,NO
165738,Studebaker,NO
35938,"Dishes, Cups & Mugs",NO
35939,Keychains,NO
63816,Antenna Toppers,NO
63817,Calendars,NO
63818,Clocks,NO
63819,Magazines,NO
71003,Lighters,NO
73572,Watches,NO
74720,Hitch Covers,NO
74722,Spark Plugs,NO
74723,Steering Wheels & Knobs,NO
95134,Gas Pumps & Fueling Systems,NO
95135,Horns & Bells,NO
95136,Hubcaps & Hub Nuts,NO
14045,Other Vintage Auto Posters,NO
95143,American Vehicles,NO
95144,Asian Vehicles,NO
95145,British Vehicles,NO
95146,European Vehicles,NO
95147,Traffic Lights & Signals,NO
165739,Floormats & Seat Covers,NO
165741,Model Cars & Trucks,NO
419,Other Aviation Collectibles,NO
806,Other Airline Collectibles,NO
807,American,NO
808,Braniff,NO
809,Delta,NO
810,Eastern,NO
811,Pan Am,NO
812,Piedmont,NO
813,TWA,NO
1312,United,NO
3861,Air France,NO
3862,British Airways,NO
3865,National Airlines,NO
7170,Air Canada/TCA,NO
10769,Continental,NO
10770,KLM,NO
10771,Northwest,NO
10772,Western,NO
25433,Southwest,NO
25434,Freight Carriers,NO
40047,Lufthansa,NO
40048,Qantas,NO
95148,Alaska Airlines,NO
95149,Cathay Pacific,NO
95150,Japan Airlines,NO
95151,"SAS, Scandinavian Airlines",NO
95152,Singapore Airlines,NO
96836,Virgin Atlantic,NO
165742,Aer Lingus,NO
165743,Aloha,NO
165744,Frontier,NO
165745,JetBlue,NO
165746,Swissair,NO
165747,US Airways,NO
165748,Merchandise & Memorabilia,NO
168051,Hawaiian Airlines,NO
14051,Private Aircraft,NO
40049,Airships,NO
