category_id,category_path,listing_count,upc_support,ean_support,isbn_support
179011,"Sporting Goods|Camping & Hiking|Tents & Canopies|Canopies & Shelters",1,ENABLED,DISABLED,DISABLED
73944,"Sporting Goods|Hunting|Gun Parts|Pistol Parts",1,ENABLED,DISABLED,DISABLED
66727,"Home & Garden|Kids & Teens at Home|Bedding|Blankets & Throws",1,ENABLED,DISABLED,DISABLED
22689,"Sporting Goods|Cycling|Bicycle Accessories|Lights & Reflectors",1,ENABLED,DISABLED,DISABLED
43616,"Home & Garden|Tools & Workshop Equipment|Safety & Protective Gear|Gloves & Pads",1,ENABLED,DISABLED,DISABLED
776,"Toys & Hobbies|Slot Cars|Other Slot Cars",1,ENABLED,DISABLED,DISABLED
145931,"Toys & Hobbies|Educational|Alphabet & Language|Blocks, Tiles & Mats",1,ENABLED,DISABLED,DISABLED
184590,"Toys & Hobbies|Educational|Special Needs & Autism|Fidget Blocks",1,ENABLED,DISABLED,DISABLED
58100,"Sporting Goods|Cycling|Bicycle Accessories|Locks & Security",1,ENABLED,DISABLED,DISABLED
154,"Collectibles|Science Fiction & Horror|Star Wars Collectibles|Other Star Wars Collectibles",1,DISABLED,DISABLED,DISABLED
494,"Jewelry & Watches|Jewelry Care, Design & Repair|Other Jewelry Care, Design & Repair",1,REQUIRED,DISABLED,DISABLED
175750,"Home & Garden|Bedding|Blankets & Throws",1,ENABLED,DISABLED,DISABLED
53145,"Business & Industrial|Facility Maintenance & Safety|Surveillance & Alarm Equipment|Alarm Systems & Accessories|Other Alarm Parts & Accessories",1,ENABLED,DISABLED,DISABLED
1105,"Books & Magazines|Textbooks, Education & Reference|Textbooks",1,DISABLED,DISABLED,ENABLED
7279,"Collectibles|Pens & Writing Instruments|Pens|Ballpoint Pens|Other Collectible Ballpoint",1,DISABLED,DISABLED,DISABLED
161648,"Home & Garden|Household Supplies & Cleaning|Cleaning Tools|Dusters",1,ENABLED,DISABLED,DISABLED
31387,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",1,ENABLED,DISABLED,DISABLED
123847,"Toys & Hobbies|Radio Control & Control Line|RC Model Vehicles & Kits|Helicopters",1,ENABLED,DISABLED,DISABLED
66826,"Sporting Goods|Hunting|Knives & Tools|Sharpening Tools & Accessories",1,ENABLED,DISABLED,DISABLED
57209,"Crafts|Art Supplies|Painting Supplies|Artists Brushes",1,ENABLED,DISABLED,DISABLED
181383,"Sporting Goods|Camping & Hiking|Camping Cooking Supplies|Camping Tableware",1,ENABLED,DISABLED,DISABLED
177907,"Sporting Goods|Hunting|Range & Shooting Equipment|Other Range & Shooting Equipment",1,ENABLED,DISABLED,DISABLED
158439,"Collectibles|Militaria|Surplus|Personal, Field Gear|Dog Tags",1,DISABLED,DISABLED,DISABLED
183235,"Crafts|Scrapbooking & Paper Crafts|Scrapbooking|Scrapbooking Tools|Paper Trimmers",1,ENABLED,DISABLED,DISABLED
170626,"Home & Garden|Household Supplies & Cleaning|Laundry Supplies|Lint Removers",1,ENABLED,DISABLED,DISABLED
145943,"Toys & Hobbies|Electronic, Battery & Wind-Up|Battery Operated|1990-Now|Radios, Musical Toys",1,ENABLED,DISABLED,DISABLED
